rs,lr,sr,alpha,aggregate,acc_train,kappa_train,acc_eval,kappa_eval,f1_weighted
1000,0.3,0.7,1.0,mean,0.7708333333333334,0.6944444444444444,0.6215277777777778,0.49537037037037035,0.595915094009482
1000,0.3,0.7,1.0,concat,0.9444444444444444,0.9259259259259259,0.5972222222222222,0.4629629629629629,0.582159996865879
1000,0.3,0.7,100.0,final,0.5902777777777778,0.4537037037037037,0.4236111111111111,0.2314814814814815,0.4088593895555921
1000,0.3,0.7,100.0,mean,0.65625,0.5416666666666667,0.5833333333333334,0.4444444444444444,0.5353035258766554
1000,0.3,0.7,100.0,concat,0.7604166666666666,0.6805555555555556,0.5868055555555556,0.44907407407407407,0.555899231658394
1000,0.3,0.7,10000.0,final,0.4340277777777778,0.24537037037037035,0.4548611111111111,0.27314814814814814,0.3830545360436664
1000,0.3,0.7,10000.0,mean,0.59375,0.45833333333333337,0.5902777777777778,0.4537037037037037,0.5252325070574521
1000,0.3,0.7,10000.0,concat,0.5381944444444444,0.3842592592592593,0.5625,0.41666666666666663,0.49275105636202554
1000,0.3,0.9,1.0,final,0.9201388888888888,0.8935185185185185,0.46875,0.29166666666666663,0.46799549909079224
1000,0.3,0.9,1.0,mean,0.7847222222222222,0.712962962962963,0.6354166666666666,0.5138888888888888,0.6107988118657564
1000,0.3,0.9,1.0,concat,0.9826388888888888,0.9768518518518519,0.6145833333333334,0.48611111111111116,0.6036498731153903
1000,0.3,0.9,100.0,final,0.5868055555555556,0.44907407407407407,0.4340277777777778,0.24537037037037035,0.42273880110449513
1000,0.3,0.9,100.0,mean,0.6597222222222222,0.5462962962962963,0.5833333333333334,0.4444444444444444,0.5347325020112631
1000,0.3,0.9,100.0,concat,0.7743055555555556,0.6990740740740741,0.5798611111111112,0.43981481481481477,0.5567556495606389
1000,0.3,0.9,10000.0,final,0.4548611111111111,0.27314814814814814,0.4652777777777778,0.2870370370370371,0.39486550602506454
1000,0.3,0.9,10000.0,mean,0.5902777777777778,0.4537037037037037,0.5902777777777778,0.4537037037037037,0.5252325070574521
1000,0.3,0.9,10000.0,concat,0.5729166666666666,0.4305555555555556,0.5659722222222222,0.4212962962962963,0.4985721302897088
1000,0.3,1.2,1.0,final,0.9861111111111112,0.9814814814814815,0.4583333333333333,0.2777777777777778,0.4585565408211024
1000,0.3,1.2,1.0,mean,0.8263888888888888,0.7685185185185185,0.6319444444444444,0.5092592592592593,0.6093339300280974
1000,0.3,1.2,1.0,concat,1.0,1.0,0.6284722222222222,0.5046296296296297,0.618895063209428
1000,0.3,1.2,100.0,final,0.6527777777777778,0.537037037037037,0.4513888888888889,0.2685185185185185,0.4406346965438402
1000,0.3,1.2,100.0,mean,0.7118055555555556,0.6157407407407407,0.6041666666666666,0.4722222222222222,0.5672943474167701
1000,0.3,1.2,100.0,concat,0.8333333333333334,0.7777777777777778,0.6006944444444444,0.46759259259259256,0.5834393216746158
1000,0.3,1.2,10000.0,final,0.4652777777777778,0.2870370370370371,0.4756944444444444,0.30092592592592593,0.41319299041772456
1000,0.3,1.2,10000.0,mean,0.5902777777777778,0.4537037037037037,0.5729166666666666,0.4305555555555556,0.4986086613174703
1000,0.3,1.2,10000.0,concat,0.5763888888888888,0.43518518518518523,0.5694444444444444,0.42592592592592593,0.5040742639426851
1000,0.3,1.5,1.0,final,1.0,1.0,0.4201388888888889,0.22685185185185186,0.42089173932483787
1000,0.3,1.5,1.0,mean,0.8611111111111112,0.8148148148148149,0.6527777777777778,0.537037037037037,0.6342584560674411
1000,0.3,1.5,1.0,concat,1.0,1.0,0.5694444444444444,0.42592592592592593,0.5595766176960015
1000,0.3,1.5,100.0,final,0.7326388888888888,0.6435185185185186,0.46875,0.29166666666666663,0.4662808641975309
1000,0.3,1.5,100.0,mean,0.7291666666666666,0.6388888888888888,0.6180555555555556,0.4907407407407407,0.5897368985868618
1000,0.3,1.5,100.0,concat,0.9027777777777778,0.8703703703703703,0.625,0.5,0.6101943807807616
1000,0.3,1.5,10000.0,final,0.4861111111111111,0.31481481481481477,0.4583333333333333,0.2777777777777778,0.40102850888007496
1000,0.3,1.5,10000.0,mean,0.6111111111111112,0.4814814814814815,0.5902777777777778,0.4537037037037037,0.5268536150664302
1000,0.3,1.5,10000.0,concat,0.6006944444444444,0.46759259259259256,0.6006944444444444,0.46759259259259256,0.5340262336161521
1000,0.3,2.0,1.0,final,1.0,1.0,0.4131944444444444,0.21759259259259256,0.41104860090858253
1000,0.3,2.0,1.0,mean,0.9583333333333334,0.9444444444444444,0.6215277777777778,0.49537037037037035,0.6032080006127802
1000,0.3,2.0,1.0,concat,1.0,1.0,0.5486111111111112,0.39814814814814814,0.5447297443089869
1000,0.3,2.0,100.0,final,0.8854166666666666,0.8472222222222222,0.5104166666666666,0.3472222222222222,0.5100389899163457
1000,0.3,2.0,100.0,mean,0.7743055555555556,0.6990740740740741,0.6111111111111112,0.4814814814814815,0.5796466718887364
